cve_id,description,published,last_modified
CVE-2026-25069,"SunFounder Pironman Dashboard (pm_dashboard) version 1.3.13 and prior contain a path traversal vulnerability in the log file API endpoints. An unauthenticated remote attacker can supply traversal sequences via the filename parameter to read and delete arbitrary files. Successful exploitation can disclose sensitive information and delete critical system files, resulting in data loss and potential system compromise or denial of service.",2026-02-01T00:16:19.107,2026-02-03T16:44:36.630
CVE-2021-47856,Easy Cart Shopping Cart 2021 contains a non-persistent cross-site scripting vulnerability in the search module's keyword parameter. Remote attackers can inject malicious script code through the search input to compromise user sessions and manipulate application content.,2026-02-01T13:15:54.217,2026-02-03T16:44:36.630
CVE-2021-47885,Multiple payment terminal versions contain non-persistent cross-site scripting vulnerabilities in billing and payment information input fields. Attackers can inject malicious script code through vulnerable parameters to manipulate client-side requests and potentially execute session hijacking or phishing attacks.,2026-02-01T13:15:54.557,2026-02-03T16:44:36.630
CVE-2021-47908,Ultimate POS 4.4 contains a persistent cross-site scripting vulnerability in the product name parameter that allows remote attackers to inject malicious scripts. Attackers can exploit the vulnerability through product add or edit functions to execute arbitrary JavaScript and potentially hijack user sessions.,2026-02-01T13:15:54.727,2026-02-03T16:44:36.630
CVE-2021-47909,"Mult-E-Cart Ultimate 2.4 contains multiple SQL injection vulnerabilities in inventory, customer, vendor, and order modules. Remote attackers with privileged vendor or admin roles can exploit the 'id' parameter to execute malicious SQL commands and compromise the database management system.",2026-02-01T13:15:54.890,2026-02-03T17:15:55.823
CVE-2021-47911,"Affiliate Pro 1.7 contains multiple reflected cross-site scripting vulnerabilities in the index module's input fields. Attackers can inject malicious scripts through fullname, username, and email parameters to execute client-side attacks and manipulate browser requests.",2026-02-01T13:15:55.067,2026-02-03T17:15:56.437
CVE-2021-47912,"PHP Melody version 3.0 contains multiple non-persistent cross-site scripting vulnerabilities in categories, import, and user import files. Attackers can inject malicious scripts through unvalidated parameters to execute client-side attacks and potentially hijack user sessions.",2026-02-01T13:15:55.243,2026-02-12T16:20:23.373
CVE-2021-47913,"PHP Melody 3.0 contains a persistent cross-site scripting vulnerability in the video editor that allows privileged users to inject malicious scripts. Attackers can exploit the WYSIWYG editor to execute persistent scripts, potentially leading to session hijacking and application manipulation.",2026-02-01T13:15:55.413,2026-02-11T19:29:14.420
CVE-2021-47914,"PHP Melody version 3.0 contains a persistent cross-site scripting vulnerability in the edit-video.php submitted parameter that allows remote attackers to inject malicious script code. Attackers can exploit this vulnerability to execute arbitrary JavaScript, potentially leading to session hijacking, persistent phishing, and manipulation of application modules.",2026-02-01T13:15:55.573,2026-02-11T19:29:24.883
CVE-2021-47915,PHP Melody version 3.0 contains a remote SQL injection vulnerability in the video edit module that allows authenticated attackers to inject malicious SQL commands. Attackers can exploit the unvalidated 'vid' parameter to execute arbitrary database queries and potentially compromise the web application and database management system.,2026-02-01T13:15:55.740,2026-02-11T19:29:41.147
CVE-2021-47916,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.,2026-02-01T13:15:55.903,2026-02-01T23:15:49.110
CVE-2021-47917,"Simple CMS 2.1 contains a persistent cross-site scripting vulnerability in user input parameters that allows remote attackers to inject malicious script code. Attackers can exploit the newUser and editUser modules to inject persistent scripts that execute on user list preview, potentially leading to session hijacking and application manipulation.",2026-02-01T13:15:56.073,2026-02-11T19:30:18.937
CVE-2021-47918,Simple CMS 2.1 contains a remote SQL injection vulnerability that allows privileged attackers to inject unfiltered SQL commands in the users module. Attackers can exploit unvalidated input parameters in the admin.php file to compromise the database management system and web application.,2026-02-01T13:15:56.237,2026-02-11T19:30:38.643
CVE-2021-47919,Simple CMS 2.1 contains a non-persistent cross-site scripting vulnerability in the preview.php file's id parameter. Attackers can inject malicious script code through a GET request to execute arbitrary scripts and potentially hijack user sessions or perform phishing attacks.,2026-02-01T13:15:56.403,2026-02-11T19:30:50.400
CVE-2021-47920,WebMO Job Manager 20.0 contains a cross-site scripting vulnerability in search parameters that allows remote attackers to inject malicious script code. Attackers can exploit the filterSearch and filterSearchType parameters to perform non-persistent attacks including session hijacking and external redirects.,2026-02-01T13:15:56.573,2026-02-03T16:44:36.630
CVE-2021-47921,Free Photo & Video Vault 0.0.2 contains a directory traversal web vulnerability that allows remote attackers to manipulate application path requests and access sensitive system files. Attackers can exploit the vulnerability without privileges to retrieve environment variables and access unauthorized system paths.,2026-02-01T13:15:56.760,2026-02-03T17:15:56.823
CVE-2022-50797,"Stripe Green Downloads Wordpress Plugin 2.03 contains a persistent cross-site scripting vulnerability allowing remote attackers to inject malicious scripts in button label fields. Attackers can exploit input parameters to execute arbitrary scripts, potentially leading to session hijacking and application module manipulation.",2026-02-01T13:15:56.940,2026-02-03T16:44:36.630
CVE-2022-50940,"Knap Advanced PHP Login 3.1.3 contains a persistent cross-site scripting vulnerability that allows remote attackers to inject malicious script code in the name parameter. Attackers can exploit the vulnerability to execute arbitrary scripts in users and activity log backend modules, potentially leading to session hijacking and persistent phishing attacks.",2026-02-01T13:15:57.107,2026-02-03T17:15:56.960
CVE-2022-50941,"BootCommerce 3.2.1 contains persistent input validation vulnerabilities that allow remote attackers to inject malicious script code through guest order checkout input fields. Attackers can exploit unvalidated input parameters to execute arbitrary scripts, potentially leading to session hijacking, phishing attacks, and application module manipulation.",2026-02-01T13:15:57.273,2026-02-03T17:15:57.080
CVE-2022-50942,"Incinga Web 2.8.2 contains a client-side cross-site scripting vulnerability that allows remote attackers to inject malicious script codes through the icinga.min.js file. Attackers can exploit the EventListener.handleEvent method to execute arbitrary scripts, potentially leading to session hijacking and non-persistent phishing attacks.",2026-02-01T13:15:57.440,2026-02-03T17:15:57.200
CVE-2022-50950,Webile 1.0.1 contains a directory traversal vulnerability that allows remote attackers to manipulate file system paths without authentication. Attackers can exploit path manipulation to access sensitive system directories and potentially compromise the mobile device's local file system.,2026-02-01T13:15:57.610,2026-02-03T16:44:36.630
CVE-2022-50951,"WiFi File Transfer 1.0.8 contains a persistent cross-site scripting vulnerability that allows remote attackers to inject malicious script codes through file and folder names. Attackers can exploit the web server's input validation weakness to execute arbitrary JavaScript when users preview infected file paths, potentially compromising user browser sessions.",2026-02-01T13:15:57.817,2026-02-03T16:44:36.630
CVE-2022-50952,Banco Guayaquil 8.0.0 mobile iOS application contains a persistent cross-site scripting vulnerability in the TextBox Name Profile input. Attackers can inject malicious script code through a POST request that executes on application review without user interaction.,2026-02-01T13:15:57.990,2026-02-03T16:44:36.630
CVE-2023-54343,"QWE DL 2.0.1 mobile web application contains a persistent input validation vulnerability allowing remote attackers to inject malicious script code through path parameter manipulation. Attackers can exploit the vulnerability to execute persistent cross-site scripting attacks, potentially leading to session hijacking and application module manipulation.",2026-02-01T13:15:58.170,2026-02-03T16:44:36.630
CVE-2020-37037,Avast SecureLine 5.5.522.0 contains an unquoted service path vulnerability that allows local users to potentially execute code with elevated system privileges. Attackers can exploit the unquoted path in the service configuration to inject malicious code that would execute with LocalSystem account permissions during service startup.,2026-02-01T15:16:02.567,2026-02-03T16:44:36.630
CVE-2020-37045,Veritas NetBackup 7.0 contains an unquoted service path vulnerability in the NetBackup INET Daemon service that allows local users to potentially execute arbitrary code. Attackers can exploit the unquoted path in C:\Program Files\Veritas\NetBackup\bin\bpinetd.exe to inject malicious code that would execute with elevated LocalSystem privileges.,2026-02-01T15:16:03.563,2026-02-03T16:44:36.630
CVE-2020-37047,Deep Instinct Windows Agent 1.2.29.0 contains an unquoted service path vulnerability in the DeepMgmtService that allows local users to potentially execute code with elevated privileges. Attackers can exploit the unquoted path in C:\Program Files\HP Sure Sense\DeepMgmtService.exe to inject malicious code that would execute with LocalSystem permissions during service startup.,2026-02-01T15:16:03.733,2026-02-03T16:44:36.630
CVE-2020-37048,Iskysoft Application Framework Service 2.4.3.241 contains an unquoted service path vulnerability that allows local users to potentially execute arbitrary code with elevated privileges. Attackers can exploit the unquoted path in the service configuration to inject malicious executables that would be run with the service's high-level system permissions.,2026-02-01T15:16:03.897,2026-02-03T16:44:36.630
CVE-2020-37055,SpyHunter 4 contains an unquoted service path vulnerability that allows local users to potentially execute arbitrary code with elevated system privileges. Attackers can exploit the unquoted service path by placing malicious executables in specific file system locations to gain elevated access during service startup.,2026-02-01T15:16:04.060,2026-02-03T16:44:36.630
